[58, 99, 43, 37, 43]
DeepSea_5 DQN: solve in 16 episode
DeepSea_5 DQN: solve in 115 episode
DeepSea_5 DQN: solve in 40 episode
DeepSea_6 DQN: solve in 18 episode
DeepSea_6 DQN: solve in 32 episode
DeepSea_6 DQN: solve in 49 episode
DeepSea_6 DQN: solve in 55 episode
DeepSea_6 DQN: solve in 67 episode
DeepSea_7 DQN: solve in 39 episode
DeepSea_7 DQN: solve in 402 episode
DeepSea_7 DQN: solve in 185 episode
DeepSea_7 DQN: solve in 36 episode
DeepSea_7 DQN: solve in 190 episode
DeepSea_8 DQN: solve in 20 episode
DeepSea_8 DQN: solve in 105 episode
DeepSea_8 DQN: solve in 816 episode
DeepSea_8 DQN: solve in 6 episode
DeepSea_8 DQN: solve in 182 episode
DeepSea_9 DQN: solve in 160 episode
DeepSea_9 DQN: solve in 76 episode
DeepSea_9 DQN: solve in 4999 episode
DeepSea_9 DQN: solve in 479 episode
DeepSea_9 DQN: solve in 275 episode
[58, 99, 43, 37, 43]
DeepSea_1 random: solve in 0 episode
DeepSea_1 random: solve in 0 episode
DeepSea_1 random: solve in 2 episode
DeepSea_1 random: solve in 2 episode
DeepSea_1 random: solve in 1 episode
DeepSea_2 random: solve in 0 episode
DeepSea_2 random: solve in 2 episode
DeepSea_2 random: solve in 6 episode
DeepSea_2 random: solve in 2 episode
DeepSea_2 random: solve in 2 episode
DeepSea_3 random: solve in 7 episode
DeepSea_3 random: solve in 3 episode
DeepSea_3 random: solve in 5 episode
DeepSea_3 random: solve in 3 episode
DeepSea_3 random: solve in 6 episode
DeepSea_4 random: solve in 7 episode
DeepSea_4 random: solve in 6 episode
DeepSea_4 random: solve in 0 episode
DeepSea_4 random: solve in 5 episode
DeepSea_4 random: solve in 17 episode
DeepSea_5 random: solve in 8 episode
DeepSea_5 random: solve in 1 episode
DeepSea_5 random: solve in 30 episode
DeepSea_5 random: solve in 0 episode
DeepSea_5 random: solve in 35 episode
DeepSea_6 random: solve in 9 episode
DeepSea_6 random: solve in 81 episode
DeepSea_6 random: solve in 54 episode
DeepSea_6 random: solve in 179 episode
DeepSea_6 random: solve in 363 episode
DeepSea_7 random: solve in 79 episode
DeepSea_7 random: solve in 54 episode
DeepSea_7 random: solve in 178 episode
DeepSea_7 random: solve in 19 episode
DeepSea_7 random: solve in 55 episode
DeepSea_8 random: solve in 839 episode
DeepSea_8 random: solve in 86 episode
DeepSea_8 random: solve in 176 episode
DeepSea_8 random: solve in 229 episode
DeepSea_8 random: solve in 99 episode
DeepSea_9 random: solve in 207 episode
DeepSea_9 random: solve in 373 episode
DeepSea_9 random: solve in 68 episode
DeepSea_9 random: solve in 1761 episode
DeepSea_9 random: solve in 346 episode
DeepSea_10 random: solve in 754 episode
DeepSea_10 random: solve in 1793 episode
DeepSea_10 random: solve in 740 episode
DeepSea_10 random: solve in 226 episode
DeepSea_10 random: solve in 701 episode
DeepSea_11 random: solve in 447 episode
DeepSea_11 random: solve in 2800 episode
DeepSea_11 random: solve in 2893 episode
DeepSea_11 random: solve in 35 episode
DeepSea_11 random: solve in 1070 episode
DeepSea_12 random: solve in 1832 episode
DeepSea_12 random: solve in 4999 episode
DeepSea_12 random: solve in 4999 episode
DeepSea_12 random: solve in 4999 episode
DeepSea_12 random: solve in 1608 episode
