04:11:09,534  0, step: 20, E: 0.4, Total_steps: 20
04:11:57,611  87, step: 11, E: 0.18181818181818182, Total_steps: 1013
04:11:57,960  88, step: 8, E: 0.0, Total_steps: 1021
04:11:58,361  89, step: 10, E: 0.0, Total_steps: 1031
04:12:00,82  90, step: 11, E: 0.0, Total_steps: 1042
04:12:00,562  91, step: 10, E: 0.0, Total_steps: 1052
04:12:01,24  92, step: 9, E: 0.0, Total_steps: 1061
04:12:01,597  93, step: 9, E: 0.0, Total_steps: 1070
04:12:02,203  94, step: 11, E: 0.09090909090909091, Total_steps: 1081
04:12:02,630  95, step: 9, E: 0.1111111111111111, Total_steps: 1090
04:12:03,148  96, step: 11, E: 0.0, Total_steps: 1101
04:12:03,684  97, step: 11, E: 0.09090909090909091, Total_steps: 1112
04:12:04,242  98, step: 10, E: 0.1, Total_steps: 1122
04:12:04,733  99, step: 8, E: 0.0, Total_steps: 1130
04:12:06,780  100, step: 9, E: 0.0, Total_steps: 1139
04:12:07,217  101, step: 10, E: 0.1, Total_steps: 1149
04:12:07,696  102, step: 10, E: 0.1, Total_steps: 1159
04:12:08,275  103, step: 10, E: 0.0, Total_steps: 1169
04:12:08,650  104, step: 9, E: 0.1111111111111111, Total_steps: 1178
04:12:09,55  105, step: 9, E: 0.0, Total_steps: 1187
04:12:09,492  106, step: 9, E: 0.0, Total_steps: 1196
04:12:09,766  107, step: 8, E: 0.125, Total_steps: 1204
04:12:10,198  108, step: 9, E: 0.0, Total_steps: 1213
04:12:10,611  109, step: 8, E: 0.125, Total_steps: 1221
04:12:12,178  110, step: 8, E: 0.125, Total_steps: 1229
04:12:12,586  111, step: 9, E: 0.0, Total_steps: 1238
04:12:13,64  112, step: 10, E: 0.1, Total_steps: 1248
04:12:13,396  113, step: 9, E: 0.0, Total_steps: 1257
04:12:13,987  114, step: 11, E: 0.09090909090909091, Total_steps: 1268
04:12:14,585  115, step: 10, E: 0.0, Total_steps: 1278
04:12:14,974  116, step: 10, E: 0.0, Total_steps: 1288
04:12:15,378  117, step: 9, E: 0.0, Total_steps: 1297
04:12:15,994  118, step: 10, E: 0.1, Total_steps: 1307
04:12:16,481  119, step: 10, E: 0.0, Total_steps: 1317
04:12:18,93  120, step: 10, E: 0.1, Total_steps: 1327
04:12:18,428  121, step: 8, E: 0.0, Total_steps: 1335
04:12:18,928  122, step: 10, E: 0.1, Total_steps: 1345
04:12:19,303  123, step: 10, E: 0.1, Total_steps: 1355
04:12:19,676  124, step: 9, E: 0.0, Total_steps: 1364
04:12:20,122  125, step: 10, E: 0.1, Total_steps: 1374
04:12:20,650  126, step: 10, E: 0.0, Total_steps: 1384
04:12:21,104  127, step: 9, E: 0.0, Total_steps: 1393
04:12:21,534  128, step: 10, E: 0.1, Total_steps: 1403
04:12:22,68  129, step: 9, E: 0.1111111111111111, Total_steps: 1412
04:12:23,657  130, step: 10, E: 0.0, Total_steps: 1422
04:12:24,97  131, step: 10, E: 0.1, Total_steps: 1432
04:12:24,433  132, step: 8, E: 0.0, Total_steps: 1440
04:12:24,895  133, step: 9, E: 0.1111111111111111, Total_steps: 1449
04:12:25,268  134, step: 8, E: 0.125, Total_steps: 1457
04:12:25,816  135, step: 10, E: 0.0, Total_steps: 1467
04:12:26,234  136, step: 8, E: 0.0, Total_steps: 1475
04:12:26,844  137, step: 9, E: 0.0, Total_steps: 1484
04:12:27,265  138, step: 9, E: 0.0, Total_steps: 1493
04:12:27,748  139, step: 10, E: 0.1, Total_steps: 1503
04:12:29,380  140, step: 11, E: 0.18181818181818182, Total_steps: 1514
04:12:29,844  141, step: 10, E: 0.0, Total_steps: 1524
04:12:30,210  142, step: 9, E: 0.0, Total_steps: 1533
04:12:30,688  143, step: 10, E: 0.0, Total_steps: 1543
04:12:31,92  144, step: 9, E: 0.0, Total_steps: 1552
04:12:31,668  145, step: 9, E: 0.0, Total_steps: 1561
04:12:32,122  146, step: 9, E: 0.1111111111111111, Total_steps: 1570
04:12:32,593  147, step: 9, E: 0.1111111111111111, Total_steps: 1579
04:12:32,984  148, step: 9, E: 0.0, Total_steps: 1588
04:12:33,380  149, step: 8, E: 0.0, Total_steps: 1596
04:12:34,930  150, step: 9, E: 0.0, Total_steps: 1605
04:12:35,316  151, step: 9, E: 0.0, Total_steps: 1614
04:12:35,748  152, step: 10, E: 0.0, Total_steps: 1624
04:12:36,258  153, step: 9, E: 0.1111111111111111, Total_steps: 1633
04:12:36,739  154, step: 11, E: 0.18181818181818182, Total_steps: 1644
04:12:37,326  155, step: 10, E: 0.0, Total_steps: 1654
04:12:37,758  156, step: 10, E: 0.1, Total_steps: 1664
04:12:38,312  157, step: 9, E: 0.0, Total_steps: 1673
04:12:38,773  158, step: 10, E: 0.0, Total_steps: 1683
04:12:39,117  159, step: 8, E: 0.0, Total_steps: 1691
04:12:40,891  160, step: 9, E: 0.1111111111111111, Total_steps: 1700
04:12:41,338  161, step: 8, E: 0.125, Total_steps: 1708
04:12:41,818  162, step: 9, E: 0.0, Total_steps: 1717
04:12:42,385  163, step: 10, E: 0.0, Total_steps: 1727
04:12:42,863  164, step: 9, E: 0.1111111111111111, Total_steps: 1736
04:12:43,354  165, step: 10, E: 0.1, Total_steps: 1746
04:12:43,978  166, step: 12, E: 0.25, Total_steps: 1758
04:12:44,541  167, step: 9, E: 0.1111111111111111, Total_steps: 1767
04:12:45,94  168, step: 10, E: 0.0, Total_steps: 1777
04:12:45,649  169, step: 10, E: 0.1, Total_steps: 1787
04:12:47,271  170, step: 9, E: 0.0, Total_steps: 1796
04:12:47,728  171, step: 10, E: 0.0, Total_steps: 1806
04:12:48,164  172, step: 9, E: 0.1111111111111111, Total_steps: 1815
04:12:48,643  173, step: 9, E: 0.1111111111111111, Total_steps: 1824
04:12:49,22  174, step: 10, E: 0.1, Total_steps: 1834
04:12:49,481  175, step: 10, E: 0.1, Total_steps: 1844
04:12:50,36  176, step: 10, E: 0.1, Total_steps: 1854
04:12:50,342  177, step: 8, E: 0.125, Total_steps: 1862
04:12:50,720  178, step: 10, E: 0.2, Total_steps: 1872
04:12:51,180  179, step: 10, E: 0.1, Total_steps: 1882
04:12:52,764  180, step: 9, E: 0.1111111111111111, Total_steps: 1891
04:12:53,212  181, step: 10, E: 0.0, Total_steps: 1901
04:12:53,667  182, step: 10, E: 0.2, Total_steps: 1911
04:12:54,306  183, step: 14, E: 0.21428571428571427, Total_steps: 1925
04:12:54,874  184, step: 10, E: 0.1, Total_steps: 1935
04:12:55,318  185, step: 10, E: 0.1, Total_steps: 1945
04:12:55,731  186, step: 9, E: 0.2222222222222222, Total_steps: 1954
04:12:56,230  187, step: 8, E: 0.125, Total_steps: 1962
04:12:57,121  188, step: 12, E: 0.25, Total_steps: 1974
04:12:57,737  189, step: 11, E: 0.18181818181818182, Total_steps: 1985
04:13:00,79  190, step: 9, E: 0.1111111111111111, Total_steps: 1994
04:13:00,542  191, step: 9, E: 0.1111111111111111, Total_steps: 2003
04:13:01,31  192, step: 8, E: 0.125, Total_steps: 2011
04:13:01,559  193, step: 9, E: 0.1111111111111111, Total_steps: 2020
04:13:02,92  194, step: 10, E: 0.1, Total_steps: 2030
04:13:02,697  195, step: 10, E: 0.1, Total_steps: 2040
04:13:03,153  196, step: 10, E: 0.1, Total_steps: 2050
04:13:03,598  197, step: 10, E: 0.1, Total_steps: 2060
04:13:04,186  198, step: 12, E: 0.25, Total_steps: 2072
04:13:05,10  199, step: 15, E: 0.3333333333333333, Total_steps: 2087
04:13:06,940  200, step: 12, E: 0.16666666666666666, Total_steps: 2099
04:13:07,369  201, step: 10, E: 0.0, Total_steps: 2109
04:13:08,150  202, step: 10, E: 0.1, Total_steps: 2119
04:13:09,26  203, step: 13, E: 0.3076923076923077, Total_steps: 2132
04:13:09,517  204, step: 12, E: 0.16666666666666666, Total_steps: 2144
04:13:10,172  205, step: 13, E: 0.3076923076923077, Total_steps: 2157
04:13:10,677  206, step: 9, E: 0.0, Total_steps: 2166
04:13:11,503  207, step: 15, E: 0.26666666666666666, Total_steps: 2181
04:13:11,954  208, step: 9, E: 0.0, Total_steps: 2190
04:13:12,490  209, step: 11, E: 0.09090909090909091, Total_steps: 2201
04:13:14,189  210, step: 8, E: 0.0, Total_steps: 2209
04:13:15,230  211, step: 22, E: 0.22727272727272727, Total_steps: 2231
04:13:15,615  212, step: 9, E: 0.0, Total_steps: 2240
04:13:16,142  213, step: 10, E: 0.1, Total_steps: 2250
04:13:16,743  214, step: 15, E: 0.13333333333333333, Total_steps: 2265
04:13:17,115  215, step: 8, E: 0.0, Total_steps: 2273
04:13:17,481  216, step: 8, E: 0.0, Total_steps: 2281
04:13:17,839  217, step: 9, E: 0.0, Total_steps: 2290
04:13:18,245  218, step: 10, E: 0.0, Total_steps: 2300
04:13:18,714  219, step: 10, E: 0.0, Total_steps: 2310
04:13:20,224  220, step: 8, E: 0.0, Total_steps: 2318
04:13:20,799  221, step: 10, E: 0.0, Total_steps: 2328
04:13:21,321  222, step: 10, E: 0.0, Total_steps: 2338
04:13:21,998  223, step: 12, E: 0.08333333333333333, Total_steps: 2350
04:13:22,500  224, step: 9, E: 0.0, Total_steps: 2359
04:13:22,846  225, step: 8, E: 0.0, Total_steps: 2367
04:13:23,353  226, step: 10, E: 0.0, Total_steps: 2377
04:13:23,684  227, step: 8, E: 0.0, Total_steps: 2385
04:13:24,243  228, step: 9, E: 0.0, Total_steps: 2394
04:13:24,633  229, step: 8, E: 0.0, Total_steps: 2402
04:13:26,528  230, step: 9, E: 0.0, Total_steps: 2411
04:13:27,214  231, step: 10, E: 0.0, Total_steps: 2421
04:13:27,633  232, step: 9, E: 0.0, Total_steps: 2430
04:13:28,353  233, step: 13, E: 0.07692307692307693, Total_steps: 2443
04:13:28,740  234, step: 10, E: 0.0, Total_steps: 2453
04:13:29,190  235, step: 10, E: 0.0, Total_steps: 2463
04:13:29,612  236, step: 10, E: 0.0, Total_steps: 2473
04:13:30,145  237, step: 10, E: 0.1, Total_steps: 2483
04:13:30,481  238, step: 9, E: 0.0, Total_steps: 2492
04:13:30,908  239, step: 9, E: 0.0, Total_steps: 2501
04:13:32,769  240, step: 9, E: 0.0, Total_steps: 2510
04:13:33,248  241, step: 8, E: 0.0, Total_steps: 2518
04:13:33,787  242, step: 10, E: 0.1, Total_steps: 2528
04:13:34,224  243, step: 10, E: 0.0, Total_steps: 2538
04:13:34,704  244, step: 10, E: 0.0, Total_steps: 2548
04:13:35,132  245, step: 8, E: 0.0, Total_steps: 2556
04:13:35,566  246, step: 8, E: 0.0, Total_steps: 2564
04:13:36,146  247, step: 10, E: 0.0, Total_steps: 2574
04:13:36,639  248, step: 11, E: 0.09090909090909091, Total_steps: 2585
04:13:37,185  249, step: 11, E: 0.0, Total_steps: 2596
04:13:38,750  250, step: 9, E: 0.0, Total_steps: 2605
04:13:39,205  251, step: 9, E: 0.0, Total_steps: 2614
04:13:39,575  252, step: 8, E: 0.0, Total_steps: 2622
04:13:39,982  253, step: 9, E: 0.0, Total_steps: 2631
04:13:40,503  254, step: 10, E: 0.0, Total_steps: 2641
04:13:41,85  255, step: 10, E: 0.0, Total_steps: 2651
04:13:41,590  256, step: 11, E: 0.09090909090909091, Total_steps: 2662
04:13:42,0  257, step: 9, E: 0.0, Total_steps: 2671
04:13:42,423  258, step: 10, E: 0.0, Total_steps: 2681
04:13:42,834  259, step: 9, E: 0.0, Total_steps: 2690
04:13:44,444  260, step: 9, E: 0.0, Total_steps: 2699
04:13:44,929  261, step: 10, E: 0.0, Total_steps: 2709
04:13:45,490  262, step: 11, E: 0.09090909090909091, Total_steps: 2720
04:13:46,85  263, step: 9, E: 0.0, Total_steps: 2729
04:13:46,615  264, step: 11, E: 0.0, Total_steps: 2740
04:13:47,52  265, step: 9, E: 0.0, Total_steps: 2749
04:13:47,419  266, step: 9, E: 0.0, Total_steps: 2758
04:13:47,892  267, step: 10, E: 0.0, Total_steps: 2768
04:13:48,306  268, step: 10, E: 0.0, Total_steps: 2778
04:13:48,800  269, step: 9, E: 0.0, Total_steps: 2787
04:13:50,372  270, step: 10, E: 0.0, Total_steps: 2797
04:13:50,944  271, step: 10, E: 0.0, Total_steps: 2807
04:13:51,352  272, step: 8, E: 0.0, Total_steps: 2815
04:13:51,872  273, step: 11, E: 0.0, Total_steps: 2826
04:13:52,417  274, step: 10, E: 0.0, Total_steps: 2836
04:13:52,840  275, step: 10, E: 0.2, Total_steps: 2846
04:13:53,313  276, step: 11, E: 0.0, Total_steps: 2857
04:13:53,726  277, step: 9, E: 0.0, Total_steps: 2866
04:13:54,244  278, step: 11, E: 0.09090909090909091, Total_steps: 2877
04:13:54,792  279, step: 9, E: 0.0, Total_steps: 2886
04:13:56,418  280, step: 8, E: 0.0, Total_steps: 2894
04:13:57,220  281, step: 10, E: 0.1, Total_steps: 2904
04:13:57,594  282, step: 9, E: 0.0, Total_steps: 2913
04:13:58,48  283, step: 10, E: 0.0, Total_steps: 2923
04:13:58,452  284, step: 10, E: 0.0, Total_steps: 2933
04:13:58,867  285, step: 9, E: 0.0, Total_steps: 2942
04:13:59,278  286, step: 10, E: 0.0, Total_steps: 2952
04:13:59,609  287, step: 9, E: 0.1111111111111111, Total_steps: 2961
04:14:00,33  288, step: 10, E: 0.2, Total_steps: 2971
04:14:00,486  289, step: 10, E: 0.2, Total_steps: 2981
04:14:02,435  290, step: 9, E: 0.1111111111111111, Total_steps: 2990
04:14:02,875  291, step: 10, E: 0.1, Total_steps: 3000
04:14:03,215  292, step: 9, E: 0.1111111111111111, Total_steps: 3009
04:14:03,561  293, step: 9, E: 0.2222222222222222, Total_steps: 3018
04:14:03,850  294, step: 10, E: 0.1, Total_steps: 3028
04:14:04,245  295, step: 10, E: 0.1, Total_steps: 3038
04:14:04,680  296, step: 10, E: 0.2, Total_steps: 3048
04:14:05,154  297, step: 8, E: 0.125, Total_steps: 3056
04:14:05,549  298, step: 8, E: 0.125, Total_steps: 3064
04:14:06,98  299, step: 11, E: 0.09090909090909091, Total_steps: 3075
04:14:07,677  300, step: 10, E: 0.2, Total_steps: 3085
04:14:08,208  301, step: 11, E: 0.18181818181818182, Total_steps: 3096
04:14:08,542  302, step: 8, E: 0.125, Total_steps: 3104
04:14:09,163  303, step: 10, E: 0.1, Total_steps: 3114
04:14:09,544  304, step: 8, E: 0.125, Total_steps: 3122
04:14:10,134  305, step: 12, E: 0.0, Total_steps: 3134
04:14:10,577  306, step: 9, E: 0.1111111111111111, Total_steps: 3143
04:14:11,203  307, step: 10, E: 0.1, Total_steps: 3153
04:14:11,549  308, step: 9, E: 0.1111111111111111, Total_steps: 3162
04:14:12,21  309, step: 10, E: 0.1, Total_steps: 3172
04:14:13,918  310, step: 10, E: 0.1, Total_steps: 3182
04:14:14,582  311, step: 13, E: 0.15384615384615385, Total_steps: 3195
04:14:15,152  312, step: 11, E: 0.09090909090909091, Total_steps: 3206
04:14:15,534  313, step: 10, E: 0.1, Total_steps: 3216
04:14:16,233  314, step: 10, E: 0.2, Total_steps: 3226
04:14:16,955  315, step: 14, E: 0.21428571428571427, Total_steps: 3240
04:14:17,420  316, step: 10, E: 0.2, Total_steps: 3250
04:14:18,95  317, step: 14, E: 0.14285714285714285, Total_steps: 3264
04:14:18,738  318, step: 14, E: 0.14285714285714285, Total_steps: 3278
04:14:19,396  319, step: 15, E: 0.13333333333333333, Total_steps: 3293
04:14:21,827  320, step: 16, E: 0.1875, Total_steps: 3309
04:14:22,814  321, step: 17, E: 0.23529411764705882, Total_steps: 3326
04:14:23,705  322, step: 18, E: 0.2777777777777778, Total_steps: 3344
04:14:24,356  323, step: 14, E: 0.21428571428571427, Total_steps: 3358
04:14:25,238  324, step: 21, E: 0.23809523809523808, Total_steps: 3379
04:14:27,195  325, step: 32, E: 0.4375, Total_steps: 3411
04:14:31,484  326, step: 93, E: 0.2903225806451613, Total_steps: 3504
04:14:35,243  327, step: 75, E: 0.22666666666666666, Total_steps: 3579
04:14:39,831  328, step: 98, E: 0.12244897959183673, Total_steps: 3677
04:14:43,718  329, step: 74, E: 0.13513513513513514, Total_steps: 3751
04:15:09,330  330, step: 103, E: 0.23300970873786409, Total_steps: 3854
04:15:13,912  331, step: 94, E: 0.19148936170212766, Total_steps: 3948
04:15:17,848  332, step: 80, E: 0.1125, Total_steps: 4028
04:15:21,366  333, step: 78, E: 0.20512820512820512, Total_steps: 4106
04:15:24,544  334, step: 58, E: 0.1896551724137931, Total_steps: 4164
04:15:29,572  335, step: 90, E: 0.2111111111111111, Total_steps: 4254
04:15:34,287  336, step: 106, E: 0.10377358490566038, Total_steps: 4360
04:15:37,204  337, step: 63, E: 0.14285714285714285, Total_steps: 4423
04:15:43,110  338, step: 117, E: 0.1623931623931624, Total_steps: 4540
04:15:46,864  339, step: 72, E: 0.09722222222222222, Total_steps: 4612
04:16:09,977  340, step: 63, E: 0.19047619047619047, Total_steps: 4675
04:16:14,932  341, step: 103, E: 0.20388349514563106, Total_steps: 4778
04:16:17,598  342, step: 53, E: 0.1509433962264151, Total_steps: 4831
04:16:20,555  343, step: 63, E: 0.047619047619047616, Total_steps: 4894
04:16:23,160  344, step: 52, E: 0.07692307692307693, Total_steps: 4946
04:16:28,824  345, step: 118, E: 0.11016949152542373, Total_steps: 5064
04:16:30,485  346, step: 44, E: 0.045454545454545456, Total_steps: 5108
04:16:33,65  347, step: 61, E: 0.21311475409836064, Total_steps: 5169
04:16:35,445  348, step: 59, E: 0.1694915254237288, Total_steps: 5228
04:16:39,896  349, step: 111, E: 0.17117117117117117, Total_steps: 5339
04:16:50,93  350, step: 37, E: 0.1891891891891892, Total_steps: 5376
04:16:51,896  351, step: 43, E: 0.13953488372093023, Total_steps: 5419
04:16:57,393  352, step: 117, E: 0.10256410256410256, Total_steps: 5536
04:16:58,986  353, step: 39, E: 0.1282051282051282, Total_steps: 5575
04:17:03,536  354, step: 105, E: 0.0761904761904762, Total_steps: 5680
04:17:10,576  355, step: 151, E: 0.0728476821192053, Total_steps: 5831
04:17:13,382  356, step: 67, E: 0.08955223880597014, Total_steps: 5898
04:17:16,963  357, step: 94, E: 0.10638297872340426, Total_steps: 5992
04:17:18,795  358, step: 42, E: 0.14285714285714285, Total_steps: 6034
04:17:22,234  359, step: 82, E: 0.14634146341463414, Total_steps: 6116
04:17:36,684  360, step: 57, E: 0.07017543859649122, Total_steps: 6173
04:17:39,158  361, step: 58, E: 0.1206896551724138, Total_steps: 6231
04:17:42,256  362, step: 72, E: 0.125, Total_steps: 6303
04:17:45,575  363, step: 82, E: 0.13414634146341464, Total_steps: 6385
04:17:47,819  364, step: 56, E: 0.07142857142857142, Total_steps: 6441
04:17:51,4  365, step: 65, E: 0.12307692307692308, Total_steps: 6506
04:17:53,904  366, step: 55, E: 0.18181818181818182, Total_steps: 6561
04:17:57,132  367, step: 52, E: 0.17307692307692307, Total_steps: 6613
04:18:01,373  368, step: 80, E: 0.1125, Total_steps: 6693
04:18:05,845  369, step: 83, E: 0.1566265060240964, Total_steps: 6776
04:18:17,776  370, step: 107, E: 0.037383177570093455, Total_steps: 6883
04:18:23,834  371, step: 137, E: 0.18248175182481752, Total_steps: 7020
04:18:25,771  372, step: 46, E: 0.08695652173913043, Total_steps: 7066
04:18:28,346  373, step: 48, E: 0.0625, Total_steps: 7114
04:18:30,147  374, step: 41, E: 0.0975609756097561, Total_steps: 7155
04:18:32,253  375, step: 46, E: 0.10869565217391304, Total_steps: 7201
04:18:34,264  376, step: 48, E: 0.20833333333333334, Total_steps: 7249
04:18:38,88  377, step: 88, E: 0.17045454545454544, Total_steps: 7337
04:18:40,456  378, step: 54, E: 0.09259259259259259, Total_steps: 7391
04:18:42,760  379, step: 56, E: 0.08928571428571429, Total_steps: 7447
04:18:54,971  380, step: 80, E: 0.125, Total_steps: 7527
04:18:58,451  381, step: 67, E: 0.19402985074626866, Total_steps: 7594
04:19:01,103  382, step: 62, E: 0.12903225806451613, Total_steps: 7656
04:19:03,929  383, step: 66, E: 0.06060606060606061, Total_steps: 7722
04:19:05,969  384, step: 47, E: 0.10638297872340426, Total_steps: 7769
04:19:09,8  385, step: 68, E: 0.10294117647058823, Total_steps: 7837
04:19:13,557  386, step: 106, E: 0.08490566037735849, Total_steps: 7943
04:19:16,99  387, step: 63, E: 0.12698412698412698, Total_steps: 8006
04:19:20,618  388, step: 106, E: 0.09433962264150944, Total_steps: 8112
04:19:24,701  389, step: 96, E: 0.052083333333333336, Total_steps: 8208
04:19:35,56  390, step: 50, E: 0.06, Total_steps: 8258
04:19:37,802  391, step: 66, E: 0.07575757575757576, Total_steps: 8324
04:19:40,773  392, step: 71, E: 0.11267605633802817, Total_steps: 8395
04:19:45,104  393, step: 98, E: 0.08163265306122448, Total_steps: 8493
04:19:48,616  394, step: 80, E: 0.0875, Total_steps: 8573
04:19:52,782  395, step: 89, E: 0.12359550561797752, Total_steps: 8662
04:19:55,863  396, step: 77, E: 0.07792207792207792, Total_steps: 8739
04:19:58,992  397, step: 65, E: 0.06153846153846154, Total_steps: 8804
04:20:02,794  398, step: 82, E: 0.07317073170731707, Total_steps: 8886
04:20:08,106  399, step: 117, E: 0.10256410256410256, Total_steps: 9003
04:20:33,330  400, step: 203, E: 0.07389162561576355, Total_steps: 9206
04:20:36,390  401, step: 69, E: 0.07246376811594203, Total_steps: 9275
04:20:41,500  402, step: 117, E: 0.06837606837606838, Total_steps: 9392
04:20:45,238  403, step: 86, E: 0.10465116279069768, Total_steps: 9478
04:20:48,950  404, step: 82, E: 0.07317073170731707, Total_steps: 9560
04:20:52,420  405, step: 80, E: 0.075, Total_steps: 9640
04:20:56,210  406, step: 93, E: 0.10752688172043011, Total_steps: 9733
04:21:00,768  407, step: 93, E: 0.07526881720430108, Total_steps: 9826
04:21:04,881  408, step: 82, E: 0.06097560975609756, Total_steps: 9908
04:21:07,515  409, step: 59, E: 0.03389830508474576, Total_steps: 9967
04:21:26,473  410, step: 67, E: 0.1044776119402985, Total_steps: 10034
04:21:29,353  411, step: 64, E: 0.15625, Total_steps: 10098
04:21:33,370  412, step: 89, E: 0.11235955056179775, Total_steps: 10187
